id,RA,DEC,Z,B,R,X_pix,y_pix
0,14.34419,-0.08793,0.657,20.37,19.18,-12.498938,-1.779498
1,14.36451,-0.02437,0.657,20.13,18.86,-11.195736,0.71102
2,14.51883,-0.03288,0.747,20.65,20.13,-4.855206,-0.774003
3,14.58188,-0.0281,0.733,20.57,20.13,-2.197618,-1.037953
4,14.70766,0.06711,0.73,21.65,21.31,3.734749,2.000934
5,14.77296,0.11435,0.719,17.88,17.18,6.79415,3.485278
6,14.84956,-0.02235,0.747,19.82,19.44,8.972991,-2.759429
0,8.35583,-0.30825,0.699,20.62,19.02,-7.598586,-3.799398
1,8.39008,-0.31615,0.69,18.16,17.54,-6.154353,-4.133963
2,8.5238,-0.26341,0.698,20.43,20.2,-0.508369,-1.90841
3,8.54128,-0.34624,0.69,20.25,19.73,0.230218,-5.406623
4,8.56304,-0.13002,0.696,20.68,20.07,1.149663,3.727856
0,0.20073,1.5538,0.664,19.84,19.38,7.888517,5.43198
1,0.26146,1.49497,0.726,21.08,20,9.97858,2.541654
2,0.28894,1.44459,0.725,18.52,18.39,10.749598,0.24702
3,0.34967,1.33461,0.721,21.48,21.5,12.454985,-4.762247