col0,RA,DEC,Z,B,R,x_deg,y_deg,x_mm,y_mm,flag,yline_mm,shift,slit_length,slit_width,coord_x,coord_y,angle,ra_center,dec_center,field,x_mm2,y_mm2,fuv_mag,nuv_mag
4,0.28894000000000003,1.44459,0.725,18.52,18.39,0.2548085776824665,0.005855661242800084,10.74985226874078,0.24703836059371156,./qmult1/,2.4977267305708124,-2.2768965759999946,0.47272727,0.075,10.842984717382402,0.24916589410736023,10.0,0.038939999999999975,1.39459,1,10.749597610032431,0.2470199091495789,0,0
5,0.20073,1.5538,0.664,19.84,19.38,0.18692167702294513,0.1287130231827922,7.8886694558317165,5.43208530290049,./qmult1/,2.639170095956739,2.2148874777599876,0.47272727,0.075,7.954134945282936,5.477163922932208,10.0,0.038939999999999975,1.39459,1,7.8885165601900855,5.431979543488813,0,0
14,0.26145999999999997,1.4949700000000001,0.726,21.08,20.0,0.23649792722726182,0.06023900110119733,9.978798853783994,2.541725765588142,./qmult1/,4.622280586346857,-2.350532380159988,0.47272727,0.075,10.063789179875474,2.5633577957521156,10.0,0.038939999999999975,1.39459,1,9.97857990698978,2.541654056731162,0,0
15,0.34967,1.33461,0.721,21.48,21.5,0.2955144555810578,-0.11299253746242091,12.455491747973143,-4.762466239353542,./qmult1/,-2.2788493432136283,-1.9823533593599925,0.47272727,0.075,12.575210615777012,-4.808216493305147,10.0,0.038939999999999975,1.39459,1,12.45498507949911,-4.762247449596042,0,0
2,22.67362,0.66677,0.6559999999999999,17.76,17.4,0.217269771270167,0.12588887364752724,9.166632530913423,5.3112636779211435,./qmult7/,1.9435786323233186,2.8039739110400053,0.47272727,0.075,9.245583407138078,5.356996022254449,-20.0,22.426379999999998,0.6227900000000001,7,9.166430065392262,5.311133677153207,0,0
6,22.55721,0.62048,0.741,20.03,19.42,0.12372229008726446,0.04257470152014239,5.226252100742708,1.798431981021356,./qmult7/,5.060657185372066,-3.4550694425600024,0.47272727,0.075,5.264787392317882,1.8116927350881706,-20.0,22.426379999999998,0.6227900000000001,7,5.226243084475273,1.798429057508455,0,0
8,22.27638,0.7227899999999999,0.743,20.27,19.78,-0.17514575364271107,0.042672571919604455,-7.395435177526459,1.801826381320915,./qmult7/,5.211619706561661,-3.6023410508799896,0.47272727,0.075,-7.4530259713548,1.8158531983425603,-20.0,22.426379999999998,0.6227900000000001,7,-7.3953658319806,1.8018048978399273,0,0
12,22.4059,0.65525,0.6559999999999999,20.81,20.83,-0.03034563763950364,0.02349834619578622,-1.282393691626992,0.9930300784292987,./qmult7/,-1.9177984293291317,2.8039739110400053,0.47272727,0.075,-1.2913038147545794,0.9999297515277172,-20.0,22.426379999999998,0.6227900000000001,7,-1.2823968864909765,0.9930326120135803,0,0
13,22.2991,0.66674,0.742,20.87,20.57,-0.13462836184688293,-0.0022283527381477333,-5.686790655494019,-0.09412708700158964,./qmult7/,3.444669053504666,-3.528705246719996,0.47272727,0.075,-5.728874957416115,-0.09482622261176177,-20.0,22.426379999999998,0.6227900000000001,7,-5.686776654641353,-0.09412939765744344,0,0
17,22.45386,0.59717,0.748,21.78,21.82,0.03458388582976393,-0.014676656416737472,1.4615027187835672,-0.6202302818514861,./qmult7/,3.4170303510996085,-3.9705200716800126,0.47272727,0.075,1.4716548252539878,-0.6245386085422415,-20.0,22.426379999999998,0.6227900000000001,7,1.4615063709805305,-0.6202318231452613,0,0
3,14.772960000000001,0.11435,0.7190000000000001,17.88,17.18,0.16090796996665332,0.08254299968241963,6.7942147847059475,3.485314424962899,./qmult5/,4.947963904361319,-1.8350817510400053,0.47272727,0.075,6.847161376335541,3.512471370716321,10.0,14.628829999999999,0.0051199999999999996,5,6.794150089668366,3.4852775284057227,0,0
7,14.364510000000001,-0.02437,0.657,20.13,18.86,-0.26542532599990026,0.016856452227268077,-11.196029780247189,0.7110298929269409,./qmult5/,-2.094643384026936,2.730338106879998,0.47272727,0.075,-11.294773322440568,0.7173095860636411,10.0,14.628829999999999,0.0051199999999999996,5,-11.195735776261508,0.7110198997435698,0,0
9,14.34419,-0.08793,0.657,20.37,19.18,-0.29647386973095036,-0.04221020573555305,-12.499396354705528,-1.7795905324848371,./qmult5/,-4.32217989392144,2.730338106879998,0.47272727,0.075,-12.616008086463554,-1.7961650925280637,10.0,14.628829999999999,0.0051199999999999996,5,-12.49893786306719,-1.7794975819179026,0,0
10,14.581879999999998,-0.0281,0.733,20.57,20.13,-0.05200532031521608,-0.024562540514562338,-2.197612879210593,-1.0379506376223713,./qmult5/,1.9396743664854519,-2.8659830092799985,0.47272727,0.075,-2.2129928217221786,-1.0452145683290908,10.0,14.628829999999999,0.0051199999999999996,5,-2.1976181178259733,-1.0379529702171033,0,0
11,14.51883,-0.03288,0.747,20.65,20.13,-0.11492750009276641,-0.01832145369051216,-4.85520876648456,-0.7740051989394519,./qmult5/,3.2059410447690833,-3.8968842675199915,0.47272727,0.075,-4.890537623654799,-0.7796355620946005,10.0,14.628829999999999,0.0051199999999999996,5,-4.855205898002056,-0.7740030791430712,0,0
16,14.70766,0.06711,0.73,21.65,21.31,0.08839684891763688,0.047359610694602636,3.734748022927276,2.000933456045201,./qmult5/,4.431113025615083,-2.64507559679999,0.47272727,0.075,3.7615703022319646,2.0153032288426376,10.0,14.628829999999999,0.0051199999999999996,5,3.7347494858585897,2.00093367743338,0,0
0,351.63229675699995,-1.89532442,0.732,0.0,0.0,-0.22088238948377922,-0.04003850936472778,-9.3221927436972,-1.689798368899516,./qmult14/,1.282404972264676,-2.792347205120005,0.47272727,0.075,-9.399297180459596,-1.7037666332775319,0.0,351.85330000000005,-1.8553,14,-9.322039477968698,-1.6897624909315145,0,0
1,351.646688302,-1.91677546,0.732,0.0,0.0,-0.20649621007554445,-0.06148791328885402,-8.71595571546094,-2.5953305828987903,./qmult14/,0.4734997115922366,-2.792347205120005,0.47272727,0.075,-8.787110814744318,-2.6165079529276123,0.0,351.85330000000005,-1.8553,14,-8.715826654103862,-2.595281912063241,0,0
