,num_1,selmag_1,errselmag_1,pointing,quadrant,zflg,norm,epoch,photoMask_1,tsr,ssr,classFlag_1,id_IAU_2,num_2,id_T07,alpha_2,delta_2,selmag_2,errselmag_2,u,g,r,i,z,erru,errg,errr,erri,errz,u_T07,g_T07,r_T07,i_T07,iy_T07,z_T07,erru_T07,errg_T07,errr_T07,erri_T07,erriy_T07,errz_T07,K_video,Ks,FUV,errK_video,errKs,errFUV,errNUV,DeltaUG,DeltaGR,DeltaRI,ebv,r2,r2_T07,classFlag_2,photoMask_2,spectroMask,Separation_1,distance_gal_deg,TYPED_ID,ANG_DIST,MAIN_ID,OTYPE_S,distance_gpe_deg,z_mpc,y_mpc,x_mpc,ra,dec,COO_ERR_MAJA_d,COO_ERR_MINA_d,COO_ERR_ANGLE_d,PMRA,PMDEC,PM_ERR_MAJA,PM_ERR_MINA,PM_ERR_ANGLE,PLX_VALUE,RV_VALUE,GALDIM_MAJAXIS,GALDIM_MINAXIS,GALDIM_ANGLE,GALDIM_INCL,SP_TYPE,MORPH_TYPE,NB_REF,FILTER_NAME_U_2,FLUX_U_2,FLUX_ERROR_U_2,FLUX_SYSTEM_U_2,FLUX_BIBCODE_U_2,FLUX_VAR_U_2,FLUX_MULT_U_2,FLUX_QUAL_U_2,FLUX_UNIT_U_2,FILTER_NAME_B,FLUX_B,FLUX_ERROR_B,FLUX_SYSTEM_B,FLUX_BIBCODE_B,FLUX_VAR_B,FLUX_MULT_B,FLUX_QUAL_B,FLUX_UNIT_B,FILTER_NAME_V,FLUX_V,FLUX_ERROR_V,FLUX_SYSTEM_V,FLUX_BIBCODE_V,FLUX_VAR_V,FLUX_MULT_V,FLUX_QUAL_V,FLUX_UNIT_V,FILTER_NAME_R_2,FLUX_R_2,FLUX_ERROR_R_2,FLUX_SYSTEM_R_2,FLUX_BIBCODE_R_2,FLUX_VAR_R_2,FLUX_MULT_R_2,FLUX_QUAL_R_2,FLUX_UNIT_R_2,FILTER_NAME_I_2,FLUX_I_2,FLUX_ERROR_I_2,FLUX_SYSTEM_I_2,FLUX_BIBCODE_I_2,FLUX_VAR_I_2,FLUX_MULT_I_2,FLUX_QUAL_I_2,FLUX_UNIT_I_2,FILTER_NAME_J,FLUX_J,FLUX_ERROR_J,FLUX_SYSTEM_J,FLUX_BIBCODE_J,FLUX_VAR_J,FLUX_MULT_J,FLUX_QUAL_J,FLUX_UNIT_J,FILTER_NAME_H,FLUX_H,FLUX_ERROR_H,FLUX_SYSTEM_H,FLUX_BIBCODE_H,FLUX_VAR_H,FLUX_MULT_H,FLUX_QUAL_H,FLUX_UNIT_H,FILTER_NAME_K,FLUX_K,FLUX_ERROR_K,FLUX_SYSTEM_K,FLUX_BIBCODE_K,FLUX_VAR_K,FLUX_MULT_K,FLUX_QUAL_K,FLUX_UNIT_K,FILTER_NAME_u_2a,FLUX_u_2a,FLUX_ERROR_u_2a,FLUX_SYSTEM_u_2a,FLUX_BIBCODE_u_2a,FLUX_VAR_u_2a,FLUX_MULT_u_2a,FLUX_QUAL_u_2a,FLUX_UNIT_u_2a,FILTER_NAME_g,FLUX_g,FLUX_ERROR_g,FLUX_SYSTEM_g,FLUX_BIBCODE_g,FLUX_VAR_g,FLUX_MULT_g,FLUX_QUAL_g,FLUX_UNIT_g,FILTER_NAME_r_2a,FLUX_r_2a,FLUX_ERROR_r_2a,FLUX_SYSTEM_r_2a,FLUX_BIBCODE_r_2a,FLUX_VAR_r_2a,FLUX_MULT_r_2a,FLUX_QUAL_r_2a,FLUX_UNIT_r_2a,FILTER_NAME_i_2a,FLUX_i_2a,FLUX_ERROR_i_2a,FLUX_SYSTEM_i_2a,FLUX_BIBCODE_i_2a,FLUX_VAR_i_2a,FLUX_MULT_i_2a,FLUX_QUAL_i_2a,FLUX_UNIT_i_2a,FILTER_NAME_z,FLUX_z,FLUX_ERROR_z,FLUX_SYSTEM_z,FLUX_BIBCODE_z,FLUX_VAR_z,FLUX_MULT_z,FLUX_QUAL_z,FLUX_UNIT_z,CEL:U1,CEL:meU1,CEL:U2,CEL:meU2,CEL:U3,CEL:meU3,CEL:U4,CEL:meU4,CEL:pec,CEL:bibcode,Cl.G:D,Cl.G:R,Cl.G:Nga,Cl.G:pNga,Cl.G:Acl,Cl.G:BMclass,Cl.G:pBMclass,Cl.G:m1,Cl.G:pm1,Cl.G:m3,Cl.G:pm3,Cl.G:m10,Cl.G:pm10,Cl.G:m10a,Cl.G:pm10a,Cl.G:bibcode,diameter:diameter,diameter:Q,diameter:unit,diameter:error,diameter:filter,diameter:method,diameter:bibcode,distance:distance,distance:Q,distance:unit,distance:merr,distance:perr,distance:method,distance:bibcode,Einstein:RA,Einstein:DEC,Einstein:Err_coo,Einstein:Count,Einstein:Err_count,Einstein:Hard,Einstein:HardErrPlus,Einstein:HardErrMinus,Einstein:bibcode,Fe_H:Teff,Fe_H:log_g,Fe_H:Fe_H,Fe_H:flag,Fe_H:CompStar,Fe_H:CatNo,Fe_H:bibcode,GCRV:radvel,GCRV:Q,GCRV:nmes,GCRV:rem,GCRV:Rf,GCRV:dis,GCRV:bibcode,Herschel:alpha,Herschel:delta,HGAM:width,HGAM:mes,HGAM:Flag,HGAM:bibcode,IRAS:RA,IRAS:DEC,Z:redshift,Z:R,Z:bibcode,ze:redshift,ze:R,ze:me,ze:bibcode,OID4,RA,DEC,NUV,GroupID,GroupSize,id_IAU_1,Separation,zspec,redshift,SELECTED,symbol,Type,url_id,url,Impact parameter (kpc),size,Line,line_coord_sky,Note,color,width,delta_y,length_right,length_left,width_mask,delta_y_mask,length_right_mask,length_left_mask,x_mask_Julia,y_mask_Julia,line_coord
24578,b'102138701',21.4847,0.0138,b'W1P203',3,3.2,1.3887,2,1,0.4311612,0.9,1,b'VIPERS 102138701',b'102138701',1176736,31.9741113,-5.877338,21.4847,0.0138,22.1013,21.9386,21.8472,21.4847,21.2949,0.0141,0.0104,0.0182,0.0138,0.0364,22.088,21.995,21.907,21.563,-99.0,21.459,0.014,0.009,0.013,0.013,-99.0,0.033,-99.99,20.496,-99.0,-99.99,0.04,-99.0,0.053,-0.04,-0.036,0.0316,0.02244,3.19,3.11,1,1,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.9741113,-5.877338,22.732,,,b'VIPERS 102138701',,0.9886,,0,octagon,OVI,<a href='http://simbad.u-strasbg.fr/simbad/sim-id?Ident=VIPERS 102138701'>·</a>,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=31.9741113d-5.8773380d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=2&Radius.unit=arcmin'>·</a>,-9223372036854775808,39.28782,1033.0,-5.89,1.0721632242202759,black,0.0018055555555555555,0.0,0.004861111111111111,0.004861111111111111,76.05,0.0,204.75,204.75,-10.315675874887198,-5.372622856759849,-5.72
24762,b'102153884',20.6732,0.0103,b'W1P203',2,3.5,2.4201,2,1,0.5207835,0.94,1,b'VIPERS 102153884',b'102153884',1192000,31.9538443,-5.798012,20.6732,0.0103,22.4,21.97,21.2428,20.6732,20.4566,0.0303,0.0164,0.0161,0.0103,0.0309,22.441,22.052,21.287,20.756,-99.0,20.611,0.028,0.014,0.01,0.009,-99.0,0.025,-99.99,19.68,-99.0,-99.99,0.02,-99.0,0.045,-0.04,-0.036,0.0316,0.0232,4.9,4.86,1,1,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.9538443,-5.798012,22.941,,,b'VIPERS 102153884',,0.6554,,0,circle,Lya,<a href='http://simbad.u-strasbg.fr/simbad/sim-id?Ident=VIPERS 102153884'>·</a>,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=31.9538443d-5.7980120d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=2&Radius.unit=arcmin'>·</a>,-9223372036854775808,36.711483,1215.67,-5.87,1.063632607460022,black,0.0018055555555555555,0.0,0.004861111111111111,0.004861111111111111,76.05,0.0,204.75,204.75,-11.168601467757734,-2.0276771199112784,-4.91
25285,b'102177620',21.5716,0.021,b'W1P203',2,3.5,10.8921,2,1,0.6720727,0.969697,1,b'VIPERS 102177620',b'102177620',1214462,31.9890415,-5.6858169,21.5716,0.021,22.825,22.5553,22.0268,21.5716,21.4877,0.0336,0.0254,0.0299,0.021,0.0559,22.832,22.659,22.074,21.654,-99.0,21.598,0.028,0.019,0.016,0.016,-99.0,0.04,-99.99,21.124,-99.0,-99.99,0.07,-99.0,0.059,-0.04,-0.036,0.0316,0.02358,4.88,4.76,1,1,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.9890415,-5.6858169,23.027,,,b'VIPERS 102177620',,0.6448,,0,circle,Lya,<a href='http://simbad.u-strasbg.fr/simbad/sim-id?Ident=VIPERS 102177620'>·</a>,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=31.9890415d-5.6858169d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=2&Radius.unit=arcmin'>·</a>,-9223372036854775808,35.676723,1215.67,-5.78,1.0601224899291992,black,0.0018055555555555555,0.0,0.004861111111111111,0.004861111111111111,76.05,0.0,204.75,204.75,-9.69761634952174,2.7063293101006436,-0.96
25600,b'102189833',22.0878,0.0303,b'W1P171',3,4.5,2.3011,2,1,0.283245,0.86,1,b'VIPERS 102189833',b'102189833',1226601,31.9309548,-5.626884,22.0878,0.0303,23.2064,23.0261,22.5428,22.0878,21.8727,0.0414,0.0354,0.0433,0.0303,0.0685,23.254,23.117,22.58,22.21,-99.0,22.051,0.035,0.025,0.023,0.023,-99.0,0.052,-99.99,21.881,-99.0,-99.99,0.164,-99.0,0.062,-0.04,-0.036,0.0316,0.02371,4.27,4.08,1,1,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.9309548,-5.626884,23.318,,,b'VIPERS 102189833',,0.656,,0,circle,Lya,<a href='http://simbad.u-strasbg.fr/simbad/sim-id?Ident=VIPERS 102189833'>·</a>,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=31.9309548d-5.6268840d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=2&Radius.unit=arcmin'>·</a>,-9223372036854775808,32.285114,1215.67,-5.7,100000.0,black,0.0018055555555555555,0.0,0.004861111111111111,0.004861111111111111,76.05,0.0,204.75,204.75,-12.124363143092436,5.186213354112832,2.35
25633,b'102191353',21.2498,0.0174,b'W1P171',4,1.5,9.5949,2,1,0.3672683,0.85,1,b'VIPERS 102191353',b'102191353',1228381,32.1065928,-5.6187636,21.2498,0.0174,22.8286,22.3967,21.8058,21.2498,21.0685,0.0365,0.0249,0.0278,0.0174,0.0455,22.854,22.493,21.875,21.295,-99.0,21.175,0.031,0.02,0.017,0.014,-99.0,0.033,-99.99,20.279,-99.0,-99.99,0.046,-99.0,0.062,-0.04,-0.036,0.0316,0.02349,5.32,5.3,1,1,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.1065928,-5.6187636,23.088,,,b'VIPERS 102191353',,0.6963,,0,circle,Lya,<a href='http://simbad.u-strasbg.fr/simbad/sim-id?Ident=VIPERS 102191353'>·</a>,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=32.1065928d-5.6187636d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=2&Radius.unit=arcmin'>·</a>,-9223372036854775808,34.95175,1215.67,-5.62,1.0576326847076416,black,0.0018055555555555555,0.0,0.004861111111111111,0.004861111111111111,76.05,0.0,204.75,204.75,-4.765844298992474,5.541253833371377,5.67
26474,b'103180263',20.1819,0.0057,b'W1P204',2,14.2,1.4463,2,1,0.9427544,0.98,1,b'VIPERS 103180263',b'103180263',1851430,32.2586059,-5.7849853,20.1819,0.0057,21.1807,20.733,20.5334,20.1819,19.9652,0.0067,0.0034,0.0067,0.0057,0.01,21.149,20.808,20.673,20.175,-99.0,20.072,0.008,0.004,0.006,0.007,-99.0,0.011,-99.99,18.927,-99.0,-99.99,0.011,-99.0,-99.0,0.0,-0.056,-0.003,0.02432,3.15,3.15,1,1,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.2586059,-5.7849853,-99.0,,,b'VIPERS 103180263',,0.6442,,0,circle,Lya,<a href='http://simbad.u-strasbg.fr/simbad/sim-id?Ident=VIPERS 103180263'>·</a>,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=32.2586059d-5.7849853d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=2&Radius.unit=arcmin'>·</a>,-9223372036854775808,16384.0,1215.67,-5.88,1000.0,black,0.0018055555555555555,0.0,0.004861111111111111,0.004861111111111111,76.05,0.0,204.75,204.75,1.623110039325331,-1.4784731061587664,-5.18
26558,b'103186237',22.0417,0.0306,b'W1P203',1,1.4,8.6119,2,1,0.5461736,0.8989899,1,b'VIPERS 103186237',b'103186237',1856989,32.1502586,-5.7586235,22.0417,0.0306,23.4038,22.9848,22.9856,22.0417,22.0177,0.0503,0.0286,0.0724,0.0306,0.0757,23.305,23.046,22.796,22.027,-99.0,22.099,0.036,0.021,0.032,0.023,-99.0,0.052,-99.99,21.345,-99.0,-99.99,0.114,-99.0,-99.0,0.0,-0.056,-0.003,0.02349,4.25,4.16,1,1,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.1502586,-5.7586235,-99.0,,,b'VIPERS 103186237',,0.9099,,0,octagon,OVI,<a href='http://simbad.u-strasbg.fr/simbad/sim-id?Ident=VIPERS 103186237'>·</a>,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=32.1502586d-5.7586235d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=2&Radius.unit=arcmin'>·</a>,-9223372036854775808,16384.0,1033.0,-5.9,100000.0,black,0.0018055555555555555,0.0,0.004861111111111111,0.004861111111111111,76.05,0.0,204.75,204.75,-2.9321031108200555,-0.36457134342155073,-5.64
26647,b'103190971',20.9847,0.0106,b'W1P205',2,4.5,2.119,2,1,0.5965438,0.98,1,b'VIPERS 103190971',b'103190971',1861454,32.469175,-5.7396005,20.9847,0.0106,22.5914,22.081,21.4506,20.9847,20.8857,0.021,0.0113,0.0167,0.0106,0.0235,22.53,22.131,21.521,20.979,-99.0,21.024,0.02,0.01,0.012,0.01,-99.0,0.022,-99.99,20.116,-99.0,-99.99,0.036,-99.0,0.057,0.0,-0.056,-0.003,0.0212,3.76,3.77,1,1,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.469175,-5.7396005,22.888,,,b'VIPERS 103190971',,0.6497,,0,circle,Lya,<a href='http://simbad.u-strasbg.fr/simbad/sim-id?Ident=VIPERS 103190971'>·</a>,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=32.4691750d-5.7396005d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=2&Radius.unit=arcmin'>·</a>,-9223372036854775808,37.356537,1215.67,-5.83,1.0657958984375,black,0.0018055555555555555,0.0,0.004861111111111111,0.004861111111111111,76.05,0.0,204.75,204.75,10.460199758701778,0.43648627971980924,-2.86
26692,b'103193661',21.5728,0.0174,b'W1P204',1,4.2,2.3741,2,1,0.2853228,0.99,1,b'VIPERS 103193661',b'103193661',1863994,32.4359121,-5.7282388,21.5728,0.0174,23.1125,22.6521,22.1205,21.5728,21.3351,0.0324,0.0181,0.0291,0.0174,0.0343,23.072,22.722,22.217,21.597,-99.0,21.444,0.029,0.015,0.019,0.015,-99.0,0.028,-99.99,20.628,-99.0,-99.99,0.042,-99.0,0.098,0.0,-0.056,-0.003,0.02184,3.49,3.45,1,1,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.4359121,-5.7282388,23.495,,,b'VIPERS 103193661',,0.6668,,0,circle,Lya,<a href='http://simbad.u-strasbg.fr/simbad/sim-id?Ident=VIPERS 103193661'>·</a>,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=32.4359121d-5.7282388d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=2&Radius.unit=arcmin'>·</a>,-9223372036854775808,30.305016,1215.67,-5.78,1000.0,black,0.0018055555555555555,0.0,0.004861111111111111,0.004861111111111111,76.05,0.0,204.75,204.75,9.06770039601797,0.9167860615867152,-1.13
