,num_1,x_mask,y_mask,width_mask,delta_y_mask,length_right_mask,length_left_mask,width,delta_y,length_right,length_left,selmag_1,Line,errselmag_1,line_coord_sky,pointing,Note,quadrant,zflg,norm,epoch,photoMask_1,tsr,ssr,classFlag_1,id_IAU_2,num_2,id_T07,alpha_2,delta_2,selmag_2,errselmag_2,u,g,r,i,z,erru,errg,errr,erri,errz,u_T07,g_T07,r_T07,i_T07,iy_T07,z_T07,erru_T07,errg_T07,errr_T07,erri_T07,erriy_T07,errz_T07,K_video,Ks,FUV,errK_video,errKs,errFUV,errNUV,DeltaUG,DeltaGR,DeltaRI,ebv,r2,r2_T07,classFlag_2,photoMask_2,spectroMask,Separation_1,TYPED_ID,ANG_DIST,MAIN_ID,OTYPE_S,distance_gpe_deg,z_mpc,y_mpc,x_mpc,ra,dec,RA,DEC,NUV,id_IAU_1,Separation,zspec,redshift,SELECTED,symbol,Type,url_id,url,Impact parameter (kpc),size
24578,b'102138701',-10.315675874887198,-5.372622856759849,76.05,0.0,204.75,204.75,0.0018055555555555555,0.0,0.004861111111111111,0.004861111111111111,21.4847,1033.0,0.0138,-5.89,b'W1P203',1.0721632242202759,3,3.2,1.3887,2,1,0.4311612,0.9,1,b'VIPERS 102138701',b'102138701',1176736,31.9741113,-5.877338,21.4847,0.0138,22.1013,21.9386,21.8472,21.4847,21.2949,0.0141,0.0104,0.0182,0.0138,0.0364,22.088,21.995,21.907,21.563,-99.0,21.459,0.014,0.009,0.013,0.013,-99.0,0.033,-99.99,20.496,-99.0,-99.99,0.04,-99.0,0.053,-0.04,-0.036,0.0316,0.02244,3.19,3.11,1,1,1,0.0,,,,,,,,,,,31.9741113,-5.877338,22.732,b'VIPERS 102138701',,0.9886,,0,octagon,OVI,<a href='http://simbad.u-strasbg.fr/simbad/sim-id?Ident=VIPERS 102138701'>·</a>,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=31.9741113d-5.8773380d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=2&Radius.unit=arcmin'>·</a>,-9223372036854775808,39.28782
24762,b'102153884',-11.168601467757734,-2.0276771199112784,76.05,0.0,204.75,204.75,0.0018055555555555555,0.0,0.004861111111111111,0.004861111111111111,20.6732,1215.67,0.0103,-5.87,b'W1P203',1.063632607460022,2,3.5,2.4201,2,1,0.5207835,0.94,1,b'VIPERS 102153884',b'102153884',1192000,31.9538443,-5.798012,20.6732,0.0103,22.4,21.97,21.2428,20.6732,20.4566,0.0303,0.0164,0.0161,0.0103,0.0309,22.441,22.052,21.287,20.756,-99.0,20.611,0.028,0.014,0.01,0.009,-99.0,0.025,-99.99,19.68,-99.0,-99.99,0.02,-99.0,0.045,-0.04,-0.036,0.0316,0.0232,4.9,4.86,1,1,1,0.0,,,,,,,,,,,31.9538443,-5.798012,22.941,b'VIPERS 102153884',,0.6554,,0,circle,Lya,<a href='http://simbad.u-strasbg.fr/simbad/sim-id?Ident=VIPERS 102153884'>·</a>,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=31.9538443d-5.7980120d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=2&Radius.unit=arcmin'>·</a>,-9223372036854775808,36.711483
25285,b'102177620',-9.69761634952174,2.7063293101006436,76.05,0.0,204.75,204.75,0.0018055555555555555,0.0,0.004861111111111111,0.004861111111111111,21.5716,1215.67,0.021,-5.78,b'W1P203',1.0601224899291992,2,3.5,10.8921,2,1,0.6720727,0.969697,1,b'VIPERS 102177620',b'102177620',1214462,31.9890415,-5.6858169,21.5716,0.021,22.825,22.5553,22.0268,21.5716,21.4877,0.0336,0.0254,0.0299,0.021,0.0559,22.832,22.659,22.074,21.654,-99.0,21.598,0.028,0.019,0.016,0.016,-99.0,0.04,-99.99,21.124,-99.0,-99.99,0.07,-99.0,0.059,-0.04,-0.036,0.0316,0.02358,4.88,4.76,1,1,1,0.0,,,,,,,,,,,31.9890415,-5.6858169,23.027,b'VIPERS 102177620',,0.6448,,0,circle,Lya,<a href='http://simbad.u-strasbg.fr/simbad/sim-id?Ident=VIPERS 102177620'>·</a>,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=31.9890415d-5.6858169d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=2&Radius.unit=arcmin'>·</a>,-9223372036854775808,35.676723
25600,b'102189833',-12.124363143092436,5.186213354112832,76.05,0.0,204.75,204.75,0.0018055555555555555,0.0,0.004861111111111111,0.004861111111111111,22.0878,1215.67,0.0303,-5.7,b'W1P171',100000.0,3,4.5,2.3011,2,1,0.283245,0.86,1,b'VIPERS 102189833',b'102189833',1226601,31.9309548,-5.626884,22.0878,0.0303,23.2064,23.0261,22.5428,22.0878,21.8727,0.0414,0.0354,0.0433,0.0303,0.0685,23.254,23.117,22.58,22.21,-99.0,22.051,0.035,0.025,0.023,0.023,-99.0,0.052,-99.99,21.881,-99.0,-99.99,0.164,-99.0,0.062,-0.04,-0.036,0.0316,0.02371,4.27,4.08,1,1,1,0.0,,,,,,,,,,,31.9309548,-5.626884,23.318,b'VIPERS 102189833',,0.656,,0,circle,Lya,<a href='http://simbad.u-strasbg.fr/simbad/sim-id?Ident=VIPERS 102189833'>·</a>,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=31.9309548d-5.6268840d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=2&Radius.unit=arcmin'>·</a>,-9223372036854775808,32.285114
25633,b'102191353',-4.765844298992474,5.541253833371377,76.05,0.0,204.75,204.75,0.0018055555555555555,0.0,0.004861111111111111,0.004861111111111111,21.2498,1215.67,0.0174,-5.62,b'W1P171',1.0576326847076416,4,1.5,9.5949,2,1,0.3672683,0.85,1,b'VIPERS 102191353',b'102191353',1228381,32.1065928,-5.6187636,21.2498,0.0174,22.8286,22.3967,21.8058,21.2498,21.0685,0.0365,0.0249,0.0278,0.0174,0.0455,22.854,22.493,21.875,21.295,-99.0,21.175,0.031,0.02,0.017,0.014,-99.0,0.033,-99.99,20.279,-99.0,-99.99,0.046,-99.0,0.062,-0.04,-0.036,0.0316,0.02349,5.32,5.3,1,1,1,0.0,,,,,,,,,,,32.1065928,-5.6187636,23.088,b'VIPERS 102191353',,0.6963,,0,circle,Lya,<a href='http://simbad.u-strasbg.fr/simbad/sim-id?Ident=VIPERS 102191353'>·</a>,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=32.1065928d-5.6187636d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=2&Radius.unit=arcmin'>·</a>,-9223372036854775808,34.95175
26474,b'103180263',1.623110039325331,-1.4784731061587664,76.05,0.0,204.75,204.75,0.0018055555555555555,0.0,0.004861111111111111,0.004861111111111111,20.1819,1215.67,0.0057,-5.88,b'W1P204',1000.0,2,14.2,1.4463,2,1,0.9427544,0.98,1,b'VIPERS 103180263',b'103180263',1851430,32.2586059,-5.7849853,20.1819,0.0057,21.1807,20.733,20.5334,20.1819,19.9652,0.0067,0.0034,0.0067,0.0057,0.01,21.149,20.808,20.673,20.175,-99.0,20.072,0.008,0.004,0.006,0.007,-99.0,0.011,-99.99,18.927,-99.0,-99.99,0.011,-99.0,-99.0,0.0,-0.056,-0.003,0.02432,3.15,3.15,1,1,1,0.0,,,,,,,,,,,32.2586059,-5.7849853,-99.0,b'VIPERS 103180263',,0.6442,,0,circle,Lya,<a href='http://simbad.u-strasbg.fr/simbad/sim-id?Ident=VIPERS 103180263'>·</a>,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=32.2586059d-5.7849853d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=2&Radius.unit=arcmin'>·</a>,-9223372036854775808,16384.0
26558,b'103186237',-2.9321031108200555,-0.36457134342155073,76.05,0.0,204.75,204.75,0.0018055555555555555,0.0,0.004861111111111111,0.004861111111111111,22.0417,1033.0,0.0306,-5.9,b'W1P203',100000.0,1,1.4,8.6119,2,1,0.5461736,0.8989899,1,b'VIPERS 103186237',b'103186237',1856989,32.1502586,-5.7586235,22.0417,0.0306,23.4038,22.9848,22.9856,22.0417,22.0177,0.0503,0.0286,0.0724,0.0306,0.0757,23.305,23.046,22.796,22.027,-99.0,22.099,0.036,0.021,0.032,0.023,-99.0,0.052,-99.99,21.345,-99.0,-99.99,0.114,-99.0,-99.0,0.0,-0.056,-0.003,0.02349,4.25,4.16,1,1,1,0.0,,,,,,,,,,,32.1502586,-5.7586235,-99.0,b'VIPERS 103186237',,0.9099,,0,octagon,OVI,<a href='http://simbad.u-strasbg.fr/simbad/sim-id?Ident=VIPERS 103186237'>·</a>,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=32.1502586d-5.7586235d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=2&Radius.unit=arcmin'>·</a>,-9223372036854775808,16384.0
26647,b'103190971',10.460199758701778,0.43648627971980924,76.05,0.0,204.75,204.75,0.0018055555555555555,0.0,0.004861111111111111,0.004861111111111111,20.9847,1215.67,0.0106,-5.83,b'W1P205',1.0657958984375,2,4.5,2.119,2,1,0.5965438,0.98,1,b'VIPERS 103190971',b'103190971',1861454,32.469175,-5.7396005,20.9847,0.0106,22.5914,22.081,21.4506,20.9847,20.8857,0.021,0.0113,0.0167,0.0106,0.0235,22.53,22.131,21.521,20.979,-99.0,21.024,0.02,0.01,0.012,0.01,-99.0,0.022,-99.99,20.116,-99.0,-99.99,0.036,-99.0,0.057,0.0,-0.056,-0.003,0.0212,3.76,3.77,1,1,1,0.0,,,,,,,,,,,32.469175,-5.7396005,22.888,b'VIPERS 103190971',,0.6497,,0,circle,Lya,<a href='http://simbad.u-strasbg.fr/simbad/sim-id?Ident=VIPERS 103190971'>·</a>,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=32.4691750d-5.7396005d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=2&Radius.unit=arcmin'>·</a>,-9223372036854775808,37.356537
26692,b'103193661',9.06770039601797,0.9167860615867152,76.05,0.0,204.75,204.75,0.0018055555555555555,0.0,0.004861111111111111,0.004861111111111111,21.5728,1215.67,0.0174,-5.78,b'W1P204',1000.0,1,4.2,2.3741,2,1,0.2853228,0.99,1,b'VIPERS 103193661',b'103193661',1863994,32.4359121,-5.7282388,21.5728,0.0174,23.1125,22.6521,22.1205,21.5728,21.3351,0.0324,0.0181,0.0291,0.0174,0.0343,23.072,22.722,22.217,21.597,-99.0,21.444,0.029,0.015,0.019,0.015,-99.0,0.028,-99.99,20.628,-99.0,-99.99,0.042,-99.0,0.098,0.0,-0.056,-0.003,0.02184,3.49,3.45,1,1,1,0.0,,,,,,,,,,,32.4359121,-5.7282388,23.495,b'VIPERS 103193661',,0.6668,,0,circle,Lya,<a href='http://simbad.u-strasbg.fr/simbad/sim-id?Ident=VIPERS 103193661'>·</a>,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=32.4359121d-5.7282388d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=2&Radius.unit=arcmin'>·</a>,-9223372036854775808,30.305016
26788,b'103198924',-1.9062504977524444,1.8380091643824448,76.05,0.0,204.75,204.75,0.0018055555555555555,0.0,0.004861111111111111,0.004861111111111111,20.7282,1215.67,0.011,-5.8,b'W1P203',1.0097551345825195,1,2.4,3.8509,2,1,0.8790126,0.9393939,1,b'VIPERS 103198924',b'103198924',1868967,32.1746643,-5.7065021,20.7282,0.011,23.1317,22.3232,21.4592,20.7282,20.4713,0.0466,0.0182,0.0209,0.011,0.0227,23.11,22.39,21.57,20.741,-99.0,20.579,0.041,0.015,0.014,0.01,-99.0,0.018,-99.99,19.227,-99.0,-99.99,0.018,-99.0,0.212,0.0,-0.056,-0.003,0.02396,4.88,4.86,1,1,1,0.0,,,,,,,,,,,32.1746643,-5.7065021,24.261,b'VIPERS 103198924',,0.6446,,0,circle,Lya,<a href='http://simbad.u-strasbg.fr/simbad/sim-id?Ident=VIPERS 103198924'>·</a>,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=32.1746643d-5.7065021d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=2&Radius.unit=arcmin'>·</a>,-9223372036854775808,22.458124
26815,b'103200737',-0.14086987813327456,2.202232672914516,76.05,0.0,204.75,204.75,0.0018055555555555555,0.0,0.004861111111111111,0.004861111111111111,22.3954,1215.67,0.0284,-5.81,b'W1P204',100000.0,2,3.4,1.583,2,1,0.6865062,0.9393939,1,b'VIPERS 103200737',b'103200737',1870656,32.2166499,-5.6978863,22.3954,0.0284,24.1338,23.6191,23.0308,22.3954,22.037,0.0655,0.0333,0.0499,0.0284,0.0472,24.14,23.671,23.045,22.426,-99.0,22.176,0.059,0.028,0.03,0.025,-99.0,0.04,-99.99,21.363,-99.0,-99.99,0.066,-99.0,0.115,0.0,-0.056,-0.003,0.02423,2.87,2.75,1,1,1,0.0,,,,,,,,,,,32.2166499,-5.6978863,24.073,b'VIPERS 103200737',,0.6379,,0,circle,Lya,<a href='http://simbad.u-strasbg.fr/simbad/sim-id?Ident=VIPERS 103200737'>·</a>,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=32.2166499d-5.6978863d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=2&Radius.unit=arcmin'>·</a>,-9223372036854775808,24.27533
26847,b'103202362',-2.4161801612117317,2.474701933436038,76.05,0.0,204.75,204.75,0.0018055555555555555,0.0,0.004861111111111111,0.004861111111111111,21.0506,1215.67,0.0123,-5.79,b'W1P203',1.0555918216705322,1,2.4,4.4352,2,1,0.5918048,0.9292929,1,b'VIPERS 103202362',b'103202362',1872234,32.162534,-5.6914294,21.0506,0.0123,22.7831,22.1958,21.5672,21.0506,20.8089,0.0283,0.0136,0.0194,0.0123,0.0251,22.776,22.257,21.639,21.07,-99.0,20.966,0.025,0.011,0.013,0.011,-99.0,0.021,-99.99,20.139,-99.0,-99.99,0.037,-99.0,0.061,0.0,-0.056,-0.003,0.02374,4.19,4.15,1,1,1,0.0,,,,,,,,,,,32.162534,-5.6914294,23.138,b'VIPERS 103202362',,0.643,,0,circle,Lya,<a href='http://simbad.u-strasbg.fr/simbad/sim-id?Ident=VIPERS 103202362'>·</a>,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=32.1625340d-5.6914294d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=2&Radius.unit=arcmin'>·</a>,-9223372036854775808,34.363037
26852,b'103202729',0.3564024966108478,2.552727300401704,76.05,0.0,204.75,204.75,0.0018055555555555555,0.0,0.004861111111111111,0.004861111111111111,20.4137,1215.67,0.0081,-5.8,b'W1P204',1.0013877153396606,2,4.4,5.6235,2,1,0.8887481,1.0,1,b'VIPERS 103202729',b'103202729',1873015,32.2284759,-5.6895905,20.4137,0.0081,23.8342,22.4906,21.3656,20.4137,19.95,0.0895,0.0215,0.0197,0.0081,0.0126,23.811,22.54,21.424,20.432,-99.0,20.09,0.078,0.018,0.013,0.007,-99.0,0.011,-99.99,18.509,-99.0,-99.99,0.009,-99.0,0.215,0.0,-0.056,-0.003,0.02413,5.19,5.18,1,1,1,0.0,,,,,,,,,,,32.2284759,-5.6895905,24.466,b'VIPERS 103202729',,0.6363,,0,circle,Lya,<a href='http://simbad.u-strasbg.fr/simbad/sim-id?Ident=VIPERS 103202729'>·</a>,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=32.2284759d-5.6895905d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=2&Radius.unit=arcmin'>·</a>,-9223372036854775808,20.55716
26917,b'103205780',-4.0335013796432975,3.0971190895266543,76.05,0.0,204.75,204.75,0.0018055555555555555,0.0,0.004861111111111111,0.004861111111111111,22.252,1215.67,0.0415,-5.78,b'W1P171',1000000.0,4,2.5,5.2788,2,1,0.5066126,0.88,1,b'VIPERS 103205780',b'103205780',1875526,32.1240501,-5.6766783,22.252,0.0415,23.7069,23.1409,22.7009,22.252,22.0313,0.0728,0.0365,0.0631,0.0415,0.0871,23.633,23.234,22.752,22.308,-99.0,22.235,0.05,0.026,0.032,0.03,-99.0,0.061,-99.99,21.507,-99.0,-99.99,0.113,-99.0,0.144,0.0,-0.056,-0.003,0.02279,4.97,4.76,1,1,1,0.0,,,,,,,,,,,32.1240501,-5.6766783,24.181,b'VIPERS 103205780',,0.6432,,0,circle,Lya,<a href='http://simbad.u-strasbg.fr/simbad/sim-id?Ident=VIPERS 103205780'>·</a>,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=32.1240501d-5.6766783d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=2&Radius.unit=arcmin'>·</a>,-9223372036854775808,23.222763
26954,b'103207532',-1.020015801453887,3.4102904904238884,76.05,0.0,204.75,204.75,0.0018055555555555555,0.0,0.004861111111111111,0.004861111111111111,22.3998,1215.67,0.0387,-5.77,b'W1P172',1000000.0,3,4.5,2.0773,2,1,0.7909681,0.98,1,b'VIPERS 103207532',b'103207532',1877180,32.1957408,-5.6692887,22.3998,0.0387,23.3222,23.0694,22.6313,22.3998,22.2935,0.0483,0.0292,0.0608,0.0387,0.1005,23.294,23.124,22.709,22.39,-99.0,22.539,0.04,0.023,0.034,0.029,-99.0,0.085,-99.99,21.639,-99.0,-99.99,0.11,-99.0,0.065,0.0,-0.056,-0.003,0.0241,3.81,3.81,1,1,1,0.0,,,,,,,,,,,32.1957408,-5.6692887,23.355,b'VIPERS 103207532',,0.642,,0,circle,Lya,<a href='http://simbad.u-strasbg.fr/simbad/sim-id?Ident=VIPERS 103207532'>·</a>,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=32.1957408d-5.6692887d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=2&Radius.unit=arcmin'>·</a>,-9223372036854775808,31.86603
